grammar,dev_av,dev_sd,tst_av,tst_sd
grammar41exp1,98.978,2.336522201906074,100.192,1.8341363090021419
grammar41exp1_permutation,81.559,2.028400601459188,82.304,1.6020998720429376
grammar41exp2,98.992,2.3537790890395827,100.252,1.8117218329533933
grammar41exp2_permutation,102.595,2.259806407637611,103.101,2.3047101770070784
grammar42exp1,30.198,0.5640531889813233,29.859,0.6423776148030064
grammar42exp1_permutation,16.213,0.2547174905655284,16.233,0.30640006527414454
grammar42exp2,30.2,0.5629031888344569,29.85,0.6477036359323604
grammar42exp2_permutation,32.346,0.6643824199961945,32.115,0.6380164574679869
grammar53exp1,93.392,2.193872375504098,93.57499999999999,1.778517641183242
grammar53exp1_permutation,60.676,0.6456655480974645,61.281000000000006,0.9470422377064289
grammar53exp2,93.406,2.187606911673116,93.59399999999998,1.7693682488391194
grammar53exp2_permutation,94.23800000000001,2.0303684394710237,94.33000000000001,2.0585237428798306